trial_number,learning_rate,batch_size,hidden_size,num_layers,fold_1_val_loss,fold_2_val_loss,fold_3_val_loss,fold_4_val_loss,fold_5_val_loss,avg_validation_loss,avg_test_loss,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std
0,2.6565450821928437e-05,64,256,3,22.74664878845215,21.913801193237305,59.24538803100586,27.944238662719727,45.929134368896484,35.5558422088623,38.574178314208986,4.3450652122497555,0.9962011166947319,6.123646354675293,1.0368855159406332
1,2.8519847491974242e-05,64,64,1,17.349018096923828,115.0732650756836,85.96578216552734,115.5457534790039,30.897146224975586,72.96619300842285,74.45263633728027,6.421297883987426,2.5192709313262722,8.225888061523438,2.605264397358375
2,2.490743478997955e-05,16,128,3,50.60396957397461,56.40654373168945,44.746124267578125,21.413480758666992,29.682880401611328,40.570599746704104,51.7180233001709,5.220026588439941,0.9330132769842967,7.094358921051025,1.1781745127091745
3,1.3269220034595858e-05,128,256,2,111.761962890625,115.072998046875,24.776405334472656,115.54264068603516,35.87111282348633,80.60502395629882,80.71808280944825,6.884817838668823,2.6342076799360266,8.552213573455811,2.7527666143864384
4,0.0007721598996478031,64,16,2,12.302105903625488,11.383687973022461,23.354965209960938,28.903715133666992,74.08363342285156,30.00562152862549,34.69730892181396,3.8362961769104005,1.880684931087339,5.538200759887696,2.0064001711700326
5,0.0008571657989224635,32,256,1,9.829548835754395,13.427332878112793,7.623302459716797,13.3836669921875,9.992639541625977,10.851298141479493,25.526428699493408,2.708394241333008,1.4816793107912234,4.601368570327759,2.0865848279972212
6,0.00020138375332521167,64,256,1,32.05811309814453,6.499868869781494,34.708831787109375,52.094390869140625,48.376625061035156,34.74756593704224,54.802677631378174,5.285577392578125,2.1765037025814977,6.9883886814117435,2.4423557806430334
7,0.0003926933648993978,64,64,2,20.97671890258789,5.49536657333374,51.46148681640625,10.05017375946045,5.223872184753418,18.64152364730835,23.202827835083006,2.819856595993042,1.388994643641856,4.518681812286377,1.6686351040420555
8,4.448871501709774e-05,64,64,2,30.087995529174805,115.0721664428711,47.1864128112793,115.54695892333984,27.90103530883789,67.15891380310059,67.60113983154297,6.165600967407227,2.4004204672165366,7.84822940826416,2.4508030199822985
9,0.00016101411735782326,16,128,1,4.449344158172607,34.70014953613281,33.02158737182617,20.830154418945312,8.55776309967041,20.311799716949462,28.825507164001465,3.3073249101638793,1.329450900011551,5.143589067459106,1.539155483542738
