trial_number,learning_rate,batch_size,hidden_size,num_layers,fold_1_val_loss,fold_2_val_loss,fold_3_val_loss,fold_4_val_loss,fold_5_val_loss,avg_validation_loss,avg_test_loss,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std
0,2.6565450821928437e-05,64,256,3,97.2177734375,44.86796951293945,58.00825881958008,52.04720687866211,68.34798431396484,64.0978385925293,65.15993881225586,6.164480876922608,1.1562408045055756,8.00696325302124,1.0239518967650356
1,2.8519847491974242e-05,64,64,1,80.359130859375,81.5450439453125,85.4884033203125,79.6739273071289,86.64332580566406,82.7419662475586,85.79592437744141,7.546395492553711,0.37722538934702066,9.256778717041016,0.32858836155381027
2,2.490743478997955e-05,16,128,3,71.99358367919922,54.8713493347168,74.02642822265625,71.21752166748047,63.5301513671875,67.12780685424805,67.75643005371094,6.4364447593688965,0.3617999742991804,8.224918937683105,0.32731459998186024
3,1.3269220034595858e-05,128,256,2,89.24681854248047,96.84332275390625,95.93907165527344,93.6783447265625,86.69795989990234,92.481103515625,92.92653198242188,7.995169067382813,0.18351670365945702,9.637684631347657,0.20387496820121073
4,0.0007721598996478031,64,16,2,48.590274810791016,40.04850387573242,71.00337219238281,51.2353401184082,33.76021957397461,48.92754211425781,62.022561645507814,5.883655738830567,0.9898868494932397,7.821466636657715,0.9204466322750462
5,0.0008571657989224635,32,256,1,69.93550872802734,72.1651382446289,75.14610290527344,46.90730667114258,48.45777893066406,62.52236709594727,78.83536529541016,7.067414665222168,0.9284953940205062,8.840152645111084,0.8288928007725206
6,0.00020138375332521167,64,256,1,85.4100570678711,84.83685302734375,84.64818572998047,29.593061447143555,56.42841339111328,68.18331413269043,72.87652587890625,6.592808628082276,1.425274009028951,8.420158004760742,1.4062234634488175
7,0.0003926933648993978,64,64,2,10.35300350189209,66.37041473388672,59.559364318847656,30.28922462463379,55.75128173828125,44.4646577835083,61.52469024658203,5.927002334594727,1.19203635930047,7.7521768569946286,1.1951757341673497
8,4.448871501709774e-05,64,64,2,76.63127899169922,50.089744567871094,74.35173797607422,84.74678039550781,79.81009674072266,73.125927734375,73.91546859741212,6.830859756469726,0.8015818296662901,8.569379901885986,0.6936829327385271
9,0.00016101411735782326,16,128,1,9.990678787231445,31.655353546142578,70.15758514404297,21.974109649658203,14.216458320617676,29.598837089538574,47.661709213256835,4.937380313873291,1.3967189784218936,6.720597267150879,1.5796465578368766
