ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),CE,Score Unified,Explained Var(%),P,p-value,Sig_Hochber
13,1,0,60,22,"[11043, 11103, 10983, 10005, 9964, 10044, 9924, 9610, 12154, 10723, 10943, 12483, 12253, 12543, 10603, 12443, 10883, 9860, 10764, 10683, 8001, 10842, 637]",7.322,0.978,6.043,0.232,0.17,5.3,5.2967430439797736e-08,2.745103535542696e-129,True
14,1,0,60,25,"[745, 246, 384, 626, 506, 695, 457, 576, 10633, 3411, 823, 196, 7807, 10872, 10913, 333, 7907, 5455, 872, 9914, 12555, 73, 2400, 6379, 2968, 9325]",6.762,2.523,5.964,0.147,0.147,7.05,9.690319729989176e-05,1.462697402110168e-62,True
15,1,0,60,71,"[11837, 11872, 11924, 11802, 11190, 11315, 11565, 118, 12235, 11439, 11690, 902, 933, 964, 995, 1153, 1184, 1215, 1246, 1341, 1372, 1444, 1475, 1572, 1603, 1760, 1791, 1822, 1853, 2013, 2460, 2491, 2522, 2553, 3084, 5515, 6437, 12660, 12691, 12722, 12853, 12884, 12989, 13020, 13051, 13082, 13165, 13196, 13273, 13304, 13335, 13415, 13446, 13477, 13508, 13539, 13570, 13601, 13632, 13734, 13765, 13796, 13827, 13858, 13889, 14038, 8802, 10026, 11064, 9627, 10965, 9861]",8.109,3.108,7.746,0.276,0.148,44.94,1.1889427562415426e-08,0.0,True
16,1,0,60,32,"[9700, 12330, 9794, 9663, 8429, 12376, 9747, 5480, 11478, 2992, 11353, 11229, 11604, 11728, 10409, 9897, 1322, 1086, 2425, 8613, 11959, 12107, 12579, 9134, 1557, 10656, 8392, 9523, 9583, 0, 882, 6417, 12655]",7.351,3.954,6.643,0.145,0.123,14.02,0.028563497937975264,2.9168287055913967e-06,True
17,1,0,60,9,"[11159, 11409, 11659, 11284, 11535, 12634, 11784, 12405, 10081, 12439]",6.781,4.547,5.207,0.124,0.16,4.75,9.95541143039331e-05,1.1818556387468634e-20,True
18,1,0,60,66,"[13987, 1652, 1904, 1708, 1130, 1990, 3061, 12819, 13131, 13381, 902, 933, 964, 995, 1161, 1192, 1223, 1254, 1341, 1372, 1444, 1475, 1572, 1603, 1760, 1791, 1822, 1853, 2021, 2460, 2491, 2522, 2553, 5515, 6437, 12660, 12691, 12722, 12853, 12884, 12989, 13020, 13051, 13082, 13165, 13196, 13273, 13304, 13335, 13415, 13446, 13477, 13508, 13539, 13570, 13601, 13632, 13734, 13765, 13796, 13827, 13858, 13889, 14038, 12003, 7965, 9263]",8.276,4.782,7.746,0.319,0.158,44.77,0.004461565041879475,1.0036910607253922e-76,True
19,1,0,60,24,"[12294, 885, 6420, 12216, 2414, 11961, 8432, 7920, 9665, 2981, 11356, 11606, 9138, 11727, 10412, 11231, 11478, 259, 5441, 8393, 1550, 8615, 9746, 7820, 0]",6.483,5.399,6.088,0.139,0.139,9.28,0.02590947600950431,0.0006813481655702961,False
20,1,0,60,67,"[8732, 10432, 6486, 7840, 3104, 2061, 9818, 1018, 1267, 12500, 8538, 1503, 9167, 5593, 12757, 902, 933, 964, 1153, 1184, 1215, 1341, 1372, 1444, 1572, 1603, 1760, 1791, 1822, 1853, 2013, 2460, 2491, 2522, 2553, 5515, 6437, 12660, 12691, 12722, 12853, 12884, 12989, 13020, 13051, 13082, 13165, 13196, 13273, 13304, 13335, 13415, 13446, 13477, 13508, 13539, 13570, 13601, 13632, 13734, 13765, 13796, 13827, 13858, 13889, 14038, 2591, 7965]",7.817,5.927,7.746,0.284,0.147,44.13,0.02877138306352052,1.7126639714900988e-27,True
21,1,0,60,70,"[8698, 12626, 11391, 11641, 11766, 11266, 8573, 1044, 11517, 3118, 2075, 6503, 5613, 11141, 8758, 902, 933, 964, 995, 1153, 1184, 1215, 1246, 1341, 1372, 1444, 1475, 1572, 1603, 1760, 1791, 1822, 1853, 2013, 2460, 2491, 2522, 2553, 3084, 5515, 6437, 12660, 12691, 12722, 12853, 12884, 12989, 13020, 13051, 13082, 13165, 13196, 13273, 13304, 13335, 13415, 13446, 13477, 13508, 13539, 13570, 13601, 13632, 13734, 13765, 13796, 13827, 13858, 13889, 14038, 2594]",7.791,6.447,7.746,0.567,0.243,44.07,0.027588729984747658,6.725896303839858e-31,True
22,1,0,60,85,"[8352, 10851, 10553, 9454, 12164, 10460, 10892, 10713, 10612, 12264, 9366, 8312, 9194, 7992, 9282, 8072, 7888, 8152, 10774, 902, 933, 964, 995, 1153, 1184, 1215, 1246, 1341, 1372, 1444, 1475, 1572, 1603, 1760, 1791, 1822, 1853, 2013, 2460, 2491, 2522, 2553, 3084, 5515, 6437, 12660, 12691, 12722, 12853, 12884, 12989, 13020, 13051, 13082, 13165, 13196, 13273, 13304, 13335, 13415, 13446, 13477, 13508, 13539, 13570, 13601, 13632, 13734, 13765, 13796, 13827, 13858, 13889, 14038, 8252, 11014, 11074, 9415, 8213, 10974, 10031, 8032, 9995, 9617, 9761, 9951]",8.128,6.96,7.746,0.225,0.141,44.25,0.02523857149145008,1.2687255825711638e-46,True
23,1,0,60,70,"[8477, 9612, 11006, 11066, 9987, 9863, 10027, 10966, 12406, 11786, 8344, 11106, 12546, 902, 933, 964, 995, 1153, 1184, 1215, 1246, 1341, 1372, 1444, 1475, 1572, 1603, 1760, 1791, 1822, 1853, 2013, 2460, 2491, 2522, 2553, 3084, 5515, 6437, 12660, 12691, 12722, 12853, 12884, 12989, 13020, 13051, 13082, 13165, 13196, 13273, 13304, 13335, 13415, 13446, 13477, 13508, 13539, 13570, 13601, 13632, 13734, 13765, 13796, 13827, 13858, 13889, 14038, 10705, 12466, 9948]",7.892,7.224,7.746,0.257,0.141,42.78,0.08493147002504181,1.6807430164625904e-06,True
0,1,0,300,18,"[1803, 13421, 12254, 12973, 8292, 12689, 9572, 8019, 9224, 7859, 1257, 13655, 1627, 8639, 1021, 10434, 10676, 9915, 7700]",22.076,0.717,20.167,0.058,0.116,44.58,8.61468734636094e-08,1.691029288553726e-115,True
1,1,0,300,9,"[1966, 3009, 5497, 2470, 12407, 6393, 8455, 10006, 9723, 8731]",17.189,0.84,12.934,0.102,0.206,22.39,1.8737980703515245e-14,4.311298698171519e-125,True
2,1,0,300,21,"[6752, 6528, 4904, 7452, 2101, 4680, 7228, 6976, 6080, 5128, 4456, 5828, 4232, 3587, 3839, 3419, 4008, 5632, 8838, 3144, 10113, 7620]",14.476,0.862,2.581,0.205,0.437,23.0,6.128742122871799e-20,0.0,True
3,1,0,300,10,"[2277, 2844, 5332, 752, 7684, 6256, 11826, 8986, 10260, 12220, 13415]",17.321,1.265,13.25,0.103,0.205,27.21,5.199719701757549e-15,4.579783093189197e-144,True
4,1,0,300,9,"[11164, 11539, 13415, 2359, 817, 10345, 9070, 11912, 7754, 6369]",20.083,2.052,19.012,0.092,0.112,24.77,9.750194890593636e-12,6.273547710724998e-98,False
5,1,0,300,10,"[11317, 11567, 11067, 13415, 2392, 10377, 9099, 846, 11932, 12326, 1875]",19.92,4.733,18.993,0.088,0.115,28.51,4.896965948623817e-11,2.3673559935018083e-100,True
6,1,0,300,19,"[1444, 1208, 967, 8493, 9779, 13608, 13415, 12071, 10306, 8203, 9472, 9032, 12695, 2309, 757, 13156, 5364, 2849, 10543, 7965]",20.688,7.554,19.116,0.066,0.138,51.17,6.184030348647604e-08,7.115984251200779e-125,True
7,1,0,300,23,"[2693, 8751, 10025, 6105, 4257, 7029, 4033, 4705, 7281, 4481, 4929, 6553, 7534, 5853, 6777, 5181, 2126, 3697, 3417, 5657, 3865, 3141, 61, 13415]",17.321,12.464,15.226,0.208,0.257,29.09,9.174504733751957e-19,0.0,True
8,1,0,300,19,"[295, 537, 13415, 35, 7715, 710, 2670, 9018, 10292, 5364, 3323, 6314, 1447, 2308, 11236, 10618, 9179, 2876, 11486, 8725]",21.742,14.65,21.267,0.174,0.141,40.14,2.7870629895915384e-18,0.0,True
9,1,0,300,14,"[10839, 10560, 13415, 12419, 10999, 12010, 8451, 9739, 9940, 7940, 8100, 2486, 5510, 3022, 1979]",19.893,14.901,18.862,0.189,0.164,28.13,4.103958281008465e-23,1.2325e-319,True
0,1,0,600,10,"[4688, 6536, 4240, 7012, 5836, 3792, 3427, 7320, 6144, 4996, 5528]",21.891,2.145,7.107,0.21,0.374,22.56,8.013762645293595e-61,0.0,True
1,1,0,600,13,"[2815, 5303, 2248, 6199, 1772, 6675, 4827, 7123, 4351, 5723, 3482, 3986, 9783, 8957]",26.061,6.02,22.727,0.119,0.137,42.94,4.07308744458225e-52,0.0,True
2,1,0,600,2,"[12219, 1746, 8252]",16.444,15.04,15.742,0.07,0.144,13.76,7.162459861180258e-26,5.577741397556259e-72,False
3,1,0,600,14,"[8656, 9930, 5002, 5926, 7326, 1947, 7018, 6570, 4274, 3405, 4694, 3826, 5618, 2514, 400]",26.752,16.325,24.73,0.141,0.122,41.43,1.1329747231549065e-44,0.0,True
4,1,0,600,2,"[714, 11794, 8969]",26.119,18.494,22.307,0.085,0.053,13.36,6.271511884815414e-33,3.7444541783654583e-93,True
5,1,0,600,11,"[9463, 8178, 12146, 1706, 10582, 2235, 5236, 11017, 2748, 13291, 1128, 9773]",30.056,20.785,29.141,0.095,0.021,56.76,4.7263997901644886e-27,4.8354130352361093e-306,True
6,1,0,600,21,"[10236, 8962, 7632, 2225, 5308, 2820, 6147, 707, 11787, 7268, 4888, 11180, 3239, 6932, 4216, 5812, 3599, 4580, 6568, 3908, 1374, 9494]",29.906,21.485,29.129,0.159,0.114,67.94,2.888158196894842e-58,0.0,True
7,1,0,600,5,"[12520, 3022, 5511, 6443, 8457, 2487]",26.2,23.251,26.003,0.068,0.014,26.59,3.0003322730978003e-28,6.832950102260818e-159,True
8,1,0,600,6,"[11486, 11111, 406, 2542, 4999, 1945, 5923]",28.638,23.298,26.964,0.12,0.025,30.49,3.775433505958833e-44,5.852236382731534e-297,True
9,1,0,600,19,"[12946, 7832, 13271, 1338, 9200, 858, 6, 11883, 9545, 9914, 8614, 5434, 10856, 5014, 7310, 10293, 6106, 2946, 6582, 3725]",32.698,28.058,32.167,0.123,0.043,72.28,4.780072808556602e-20,0.0,True
0,1,0,1200,5,"[4272, 6568, 3572, 5896, 5196, 2956]",33.145,6.239,20.078,0.206,0.288,25.75,7.017234887016459e-110,0.0,True
1,1,0,1200,6,"[8000, 9274, 11968, 1291, 2553, 5073, 5942]",39.706,29.397,36.473,0.119,0.111,57.31,1.3706778314733887e-70,0.0,True
2,1,0,1200,1,"[266, 11350]",30.439,30.439,30.439,0.089,0.086,18.57,5.260682421907278e-73,6.39287407470217e-143,True
3,1,0,1200,6,"[7183, 4831, 5783, 4187, 3542, 6539, 8625]",35.531,31.318,32.539,0.144,0.158,27.23,6.333400154368824e-96,0.0,True
4,1,0,1200,2,"[10430, 12007, 1502]",37.431,34.386,35.908,0.141,0.064,33.98,1.7319570566045977e-92,8.00077541293423e-273,True
5,1,0,1200,2,"[12608, 3100, 6471]",40.094,39.756,39.925,0.04,-0.009,31.22,2.468401957273265e-41,2.3161589870683908e-119,False
0,1,0,60,415,"[0, 31, 176, 207, 313, 344, 436, 467, 556, 587, 675, 706, 802, 833, 864, 895, 926, 957, 988, 1096, 1127, 1158, 1189, 1220, 1251, 1331, 1362, 1393, 1424, 1455, 1486, 1562, 1593, 1624, 1655, 1686, 1717, 1748, 1779, 1810, 1841, 1872, 1903, 1934, 1965, 1996, 2027, 2058, 2089, 2120, 2151, 2182, 2213, 2244, 2275, 2306, 2337, 2368, 2399, 2430, 2461, 2492, 2523, 2554, 2585, 2616, 2647, 2678, 2709, 2802, 2833, 2864, 2895, 2926, 2957, 2988, 3019, 3050, 3081, 3112, 3143, 3174, 3205, 3236, 3267, 3298, 3329, 3360, 3391, 3422, 3453, 3484, 3515, 3546, 3577, 3608, 3639, 3670, 3701, 3732, 3763, 3794, 3825, 3856, 3887, 3918, 3949, 3980, 4011, 4042, 4073, 4104, 4135, 4166, 4197, 4228, 4259, 4290, 4321, 4352, 4383, 4414, 4445, 4476, 4507, 4538, 4569, 4600, 4631, 4662, 4693, 4724, 4755, 4786, 4817, 4848, 4879, 4910, 4941, 4972, 5003, 5034, 5065, 5096, 5127, 5158, 5189, 5220, 5251, 5282, 5313, 5344, 5375, 5406, 5437, 5468, 5499, 5530, 5561, 5592, 5623, 5654, 5685, 5716, 5747, 5778, 5809, 5840, 5871, 5902, 5933, 5964, 5995, 6026, 6057, 6088, 6119, 6150, 6181, 6212, 6243, 6274, 6305, 6336, 6367, 6398, 6429, 6460, 6491, 6522, 6553, 6584, 6615, 6646, 6677, 6708, 6739, 6770, 6801, 6832, 6863, 6894, 6925, 6956, 6987, 7018, 7049, 7080, 7111, 7142, 7173, 7204, 7235, 7266, 7297, 7328, 7359, 7390, 7421, 7452, 7483, 7514, 7545, 7576, 7607, 7638, 7669, 7700, 7731, 7762, 7793, 7824, 7855, 7886, 7917, 7948, 7979, 8010, 8041, 8072, 8103, 8134, 8165, 8196, 8227, 8258, 8289, 8320, 8351, 8382, 8413, 8444, 8475, 8506, 8537, 8568, 8860, 8891, 8922, 8953, 8984, 9015, 9046, 9077, 9108, 9139, 9170, 9201, 9232, 9263, 9294, 9325, 9356, 9387, 9418, 9449, 9480, 9511, 9542, 9573, 9604, 9635, 9666, 9697, 9728, 9759, 9790, 9821, 9852, 10134, 10165, 10196, 10227, 10258, 10289, 10320, 10351, 10382, 10413, 10444, 10475, 10506, 10537, 10568, 10599, 10630, 10661, 10692, 10723, 10754, 10785, 10816, 10847, 10878, 10909, 10940, 10971, 11002, 11033, 11064, 11095, 11126, 11157, 11188, 11219, 11250, 11281, 11312, 11343, 11374, 11405, 11436, 11467, 11498, 11529, 11560, 11591, 11622, 11653, 11684, 11715, 11746, 11777, 11808, 11839, 11870, 11901, 11932, 11963, 11994, 12025, 12056, 12087, 12118, 12149, 12180, 12211, 12242, 12273, 12304, 12335, 12366, 12397, 12428, 12459, 12490, 12521, 12552, 12583, 12614, 12645, 12676, 12707, 12738, 12769, 12800, 12831, 12862, 12893, 12924, 12955, 12986, 13017, 13048, 13079, 13110, 13141, 13172, 13203, 13234, 13265, 13296, 13327, 13358, 13389, 13420, 13451, 13482, 13513, 13544, 13575, 13606, 13637, 13668, 13699, 13730, 13761, 13792, 13823, 13854, 13885, 13916, 13947, 13978, 14009, 14040]",0.0,0.0,0.0,,,9.57,0.9000215365438354,0.8455343170520647,False
1,1,0,60,11,"[1020, 52, 486, 9869, 363, 226, 8584, 724, 606, 1270, 1504, 2744]",4.821,0.095,0.99,0.093,-inf,18.67,4.200469298405719e-11,6.189978192969126e-102,True
2,1,0,60,6,"[282, 10103, 145, 8829, 772, 1068, 408]",4.421,0.189,1.39,0.088,-inf,26.91,4.1306234150922835e-15,1.9424600658436432e-86,True
3,1,0,60,4,"[524, 643, 402, 1059, 763]",5.086,1.125,3.867,0.127,-inf,16.17,3.000649737172754e-14,4.5026658451712324e-57,False
4,1,0,60,3,"[83, 9900, 8615, 256]",4.359,1.201,2.052,0.126,-inf,22.98,6.640155948088515e-27,3.869219500962348e-96,True
5,1,0,60,2,"[114, 8643, 9915]",5.474,3.182,4.328,0.164,-inf,24.52,9.329417357922125e-31,1.3872281463355663e-83,True
0,1,0,300,3,"[1561, 2801, 8859, 10133]",0.0,0.0,0.0,0.058,0.363,0.49,0.0004339046504531545,1.0034824702634743e-07,True
1,1,0,300,73,"[1712, 1863, 2014, 2165, 2316, 2467, 2802, 2953, 3104, 3255, 3406, 3557, 3708, 3859, 4010, 4161, 4312, 4463, 4614, 4765, 4916, 5067, 5218, 5369, 5520, 5671, 5822, 5973, 6124, 6275, 6426, 6577, 6728, 6879, 7030, 7181, 7332, 7483, 7634, 7785, 7936, 8087, 8238, 8860, 9011, 9162, 9313, 9464, 9615, 10134, 10285, 10436, 10587, 10738, 10889, 11040, 11191, 11342, 11493, 11644, 11795, 11946, 12097, 12248, 12399, 12550, 12701, 12852, 13003, 13154, 13305, 13456, 13607, 13758]",0.0,0.0,0.0,,,8.02,0.7258682421268212,0.07881998180890748,False
2,1,0,300,1,"[8708, 9982]",0.704,0.704,0.704,0.043,0.333,41.72,1.3947086995950136e-05,8.314580660240508e-07,False
3,1,0,300,1,"[8474, 9760]",1.595,1.595,1.595,0.07,0.319,39.96,1.2377468622970383e-07,6.553920775010173e-11,True
4,1,0,300,1,"[675, 970]",3.184,3.184,3.184,0.065,0.277,7.6,8.579376400085896e-07,3.148687933569078e-09,True
5,1,0,300,2,"[1331, 2571, 1097]",8.41,3.409,5.909,0.068,0.212,4.01,1.4703189788937948e-06,4.1243214337574264e-13,True
6,1,0,300,1,"[293, 535]",8.158,8.158,8.158,0.09,0.158,15.16,3.085072099090486e-17,4.071659164647686e-30,True
0,1,0,600,34,"[1562, 1863, 2164, 2802, 3103, 3404, 3705, 4006, 4307, 4608, 4909, 5210, 5511, 5812, 6113, 6414, 6715, 7016, 7317, 7618, 7919, 8860, 9161, 10134, 10435, 10736, 11037, 11338, 11639, 11940, 12241, 12542, 12843, 13144, 13445]",0.0,0.0,0.0,,,7.98,0.5533293748538106,0.0029581814065999736,False
1,1,0,600,1,"[8247, 9532]",1.711,1.711,1.711,0.05,-inf,60.46,1.5467030126144787e-100,2.4760203665538064e-197,True
2,1,0,600,1,"[8548, 9833]",6.752,6.752,6.752,0.057,-inf,62.12,6.444321303704564e-107,4.2982801762669486e-210,True
3,1,0,600,2,"[1069, 10107, 8833]",17.639,17.596,17.618,0.068,-inf,13.68,1.4101178725636256e-41,4.256356762706331e-119,True
0,1,0,1200,2,"[1561, 2801, 10133]",0.0,0.0,0.0,0.029,0.385,1.68,0.00019302760861077128,1.104547608835421e-08,True
1,1,0,1200,12,"[3402, 1562, 4003, 4604, 5205, 5806, 6407, 7008, 10134, 10735, 11336, 11937, 12538]",0.0,0.0,0.0,,,6.0,0.322911060754745,0.00866907695379294,False
2,1,0,1200,1,"[8655, 9929]",1.004,1.004,1.004,0.022,0.355,57.16,2.189630081183473e-06,1.1074925213911051e-09,True
3,1,0,1200,1,"[7647, 8932]",2.14,2.14,2.14,0.035,0.345,60.47,1.312002589157866e-08,3.9763196384482296e-14,True
0,1,0,60,371,"[0, 31, 62, 93, 124, 155, 186, 217, 248, 279, 310, 341, 372, 403, 434, 465, 496, 527, 558, 589, 620, 651, 682, 713, 744, 775, 806, 837, 868, 899, 930, 961, 992, 1023, 1054, 1085, 1116, 1147, 1178, 1209, 1240, 1271, 1302, 1333, 1364, 1395, 1426, 1457, 1488, 1519, 1550, 1581, 1612, 1643, 1674, 1705, 1736, 1767, 1798, 1829, 1860, 1891, 1922, 1953, 1984, 2015, 2046, 2077, 2108, 2139, 2170, 2201, 2232, 2263, 2294, 2325, 2356, 2387, 2418, 2449, 2480, 2511, 2542, 2573, 2604, 2635, 2666, 2697, 2728, 2759, 2790, 2821, 2852, 2883, 2914, 2945, 2976, 3007, 3038, 3069, 3100, 3131, 3162, 3193, 3224, 3255, 3286, 3317, 3348, 3379, 3410, 3441, 3472, 3503, 3534, 3565, 3596, 3627, 3658, 3689, 3720, 3751, 3782, 3813, 3844, 3875, 3906, 3937, 3968, 3999, 4030, 4061, 4092, 4123, 4154, 4185, 4216, 4247, 4278, 4309, 4340, 4371, 4402, 4433, 4464, 4495, 4526, 4557, 4588, 4619, 4650, 4681, 4712, 4743, 4774, 4805, 4836, 4867, 4898, 4929, 4960, 4991, 5022, 5053, 5084, 5115, 5146, 5177, 5208, 5239, 5270, 5301, 5332, 5363, 5394, 5425, 5456, 5487, 5518, 5549, 5580, 5611, 5642, 5673, 5704, 5735, 5766, 5797, 5828, 5859, 5890, 5921, 5952, 5983, 6014, 6045, 6076, 6107, 6138, 6169, 6200, 6231, 6262, 6293, 6324, 6355, 6386, 6417, 6448, 6479, 6510, 6541, 6572, 6603, 6634, 6665, 6696, 6727, 6758, 6789, 6820, 6851, 6882, 6913, 6944, 6975, 7006, 7037, 7068, 7099, 7130, 7161, 7192, 7223, 7254, 7285, 7316, 7347, 7378, 7409, 7440, 7471, 7502, 7533, 7564, 7595, 7626, 7657, 7688, 7719, 7750, 8091, 8603, 8634, 8665, 8696, 8727, 8758, 8789, 8820, 8851, 8882, 8913, 8944, 8975, 9006, 9037, 9068, 9871, 9902, 9933, 9964, 9995, 10026, 10057, 10088, 10119, 10150, 10181, 10212, 10243, 10274, 10305, 10336, 10731, 10762, 10793, 10951, 10982, 11013, 11044, 11075, 11106, 11137, 11168, 11199, 11271, 11302, 11333, 11364, 11395, 11426, 11457, 11488, 11519, 11550, 11581, 11612, 11643, 11674, 11705, 11736, 11767, 11798, 11829, 11860, 11891, 11922, 11953, 11984, 12015, 12046, 12182, 12213, 12571, 12602, 12633, 12664, 12695, 12726, 12757, 12788, 12819, 12850, 12881, 12912, 12943, 12974, 13005, 13036, 13067, 13098, 13129, 13160, 13191, 13222, 13253, 13284, 13315, 13346, 13377, 13408, 13439, 13470, 13501, 13532, 13563, 13594, 13625, 13656, 13687, 13718, 13749, 13780, 13811, 13842, 13873, 13904, 13935, 13966, 13997, 14028]",0.0,0.0,0.0,,,5.27,0.5406774606151487,3.2716935633307415e-30,False
1,1,0,60,16,"[12077, 10355, 8094, 12235, 7779, 9081, 9387, 10827, 8344, 11210, 9590, 9802, 8264, 9205, 12276, 12315, 8503]",5.481,0.086,3.777,0.093,-inf,5.24,5.2047623597812185e-06,8.114854594909933e-60,True
2,1,0,60,19,"[10871, 12161, 12551, 9575, 8581, 10931, 8072, 10710, 8228, 8306, 9321, 8485, 8026, 9363, 9845, 12358, 9775, 12468, 12428, 8145]",5.468,0.787,3.925,0.124,-inf,8.36,4.884990539899106e-10,4.326892755818627e-152,True
3,1,0,60,29,"[12113, 12460, 12153, 10863, 10922, 8573, 8220, 12543, 12272, 8298, 8415, 12502, 12420, 12312, 10639, 9836, 9506, 12380, 9355, 9312, 8018, 9799, 8137, 8181, 10679, 8536, 9546, 12349, 8456, 9625]",5.537,1.218,3.75,0.121,-inf,12.01,3.125086048153531e-13,0.0,True
4,1,0,60,2,"[9124, 10398, 7804]",3.244,1.231,2.238,0.202,-inf,30.49,1.388936669040176e-27,4.5775348282593394e-74,True
5,1,0,60,1,"[7936, 10537]",1.468,1.468,1.468,0.2,-inf,23.62,5.538427614399896e-48,3.366368606562548e-90,True
6,1,0,60,26,"[8375, 12268, 12538, 10918, 12415, 12108, 12345, 12497, 8410, 12148, 12455, 10858, 8532, 9350, 8216, 10634, 8293, 8569, 9831, 12307, 8132, 8013, 8343, 9795, 10674, 8177, 9307]",5.428,2.065,3.659,0.147,-inf,9.4,2.1700368536280222e-11,6.8860299046953425e-245,True
7,1,0,60,2,"[9165, 10431, 7837]",3.726,2.343,3.035,0.151,-inf,35.5,1.4487591226924154e-42,5.194848386514003e-119,True
8,1,0,60,4,"[9270, 10449, 7855, 9183, 10582]",4.088,2.592,3.475,0.179,-inf,27.99,4.244564629747331e-33,2.5501102307203217e-151,True
9,1,0,60,2,"[9462, 8000, 12442]",5.482,2.884,4.183,0.19,-inf,9.41,2.3618344379330812e-45,2.2507780867261306e-127,True
10,1,0,60,3,"[9708, 9554, 10688, 8026]",5.13,3.788,5.002,0.18,-inf,3.49,3.7730137362051053e-39,4.0333303707633246e-145,True
11,1,0,60,2,"[10503, 9232, 7902]",5.556,4.055,4.806,0.222,-inf,15.47,4.112165857555388e-42,1.1879446190617436e-117,True
12,1,0,60,2,"[9665, 10374, 9099]",4.712,4.64,4.676,0.188,-inf,4.62,5.80172723035558e-40,3.336232013627503e-111,True
13,1,0,60,1,"[7967, 10568]",5.442,5.442,5.442,0.195,-inf,17.74,1.4100664720247706e-50,2.1820659509441112e-95,True
0,1,0,300,67,"[0, 151, 302, 453, 604, 755, 906, 1057, 1208, 1359, 1510, 1661, 1812, 1963, 2114, 2265, 2416, 2567, 2718, 2869, 3020, 3171, 3322, 3473, 3624, 3775, 3926, 4077, 4228, 4379, 4530, 4681, 4832, 4983, 5134, 5285, 5436, 5587, 5738, 5889, 6040, 6191, 6342, 6493, 6644, 6795, 6946, 7097, 7248, 7399, 8603, 8754, 9871, 10022, 10951, 11271, 11422, 11573, 11724, 12571, 12722, 12873, 13024, 13175, 13326, 13477, 13628, 13779]",0.0,0.0,0.0,,,4.87,0.05740582598911148,2.850675008308103e-63,True
1,1,0,300,2,"[7568, 10162, 8888]",5.295,5.283,5.289,0.048,-inf,34.67,1.691565964435467e-23,6.280984657260412e-64,True
2,1,0,300,1,"[11878, 12076]",10.601,10.601,10.601,0.069,-inf,1.52,7.831028075049728e-21,2.623483530468649e-37,False
3,1,0,300,1,"[7937, 10538]",10.81,10.81,10.81,0.129,-inf,30.89,3.7921555266974364e-150,6.151953745839345e-296,True
4,1,0,300,1,"[12360, 9777]",11.067,11.067,11.067,0.085,-inf,3.44,1.130459102686089e-90,5.467017835014273e-177,True
5,1,0,300,1,"[10313, 7712]",11.539,11.539,11.539,0.163,-inf,54.29,8.215332145025413e-138,2.8872941667867605e-271,True
0,1,0,600,29,"[0, 301, 602, 903, 1204, 1505, 1806, 2107, 2408, 2709, 3010, 3311, 3612, 3913, 4214, 4515, 4816, 5117, 5418, 5719, 6020, 6321, 6622, 6923, 7224, 11271, 12571, 12872, 13173, 13474]",0.0,0.0,0.0,,,4.12,0.0034791896382713803,1.6489146922215691e-62,True
1,1,0,600,2,"[10948, 12568, 11270]",4.455,4.342,4.399,0.04,-inf,0.47,2.85517790594769e-12,3.5332249972992148e-31,False
2,1,0,600,2,"[8589, 9863, 7269]",9.256,5.632,7.444,0.067,-inf,35.99,1.528909019201338e-42,5.425211821525306e-122,True
3,1,0,600,1,"[7837, 10438]",15.391,15.391,15.391,0.107,-inf,55.13,1.2803381452344126e-270,0.0,True
4,1,0,600,1,"[11580, 7242]",17.233,17.233,17.233,0.048,-inf,2.17,5.373738411268812e-24,2.988776177069192e-44,True
0,1,0,1200,12,"[0, 601, 1202, 1803, 2404, 3005, 3606, 4207, 4808, 5409, 6010, 6611, 12571]",0.0,0.0,0.0,,,3.59,1.2779750151634623e-05,1.2063340384761216e-58,True
1,1,0,1200,1,"[10910, 12530]",6.965,6.965,6.965,0.032,-inf,0.89,1.0968595026972193e-19,2.7791627755981203e-36,False
2,1,0,1200,1,"[7837, 10438]",22.002,22.002,22.002,0.081,-inf,56.66,0.0,0.0,True
3,1,0,1200,1,"[7231, 9832]",23.751,23.751,23.751,0.079,-inf,58.85,4.396922556050964e-267,0.0,True
