ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),CE,Score Unified,Explained Var(%),P,p-value,Sig_Hochber
10,1,0,60,101,"[2883, 3774, 2512, 9025, 5230, 5706, 2708, 1616, 3606, 4502, 6210, 4082, 5986, 4586, 7219, 3858, 4306, 5930, 6126, 7387, 4362, 4810, 5538, 4754, 7443, 955, 1356, 3970, 6602, 3331, 1205, 1727, 4978, 4026, 2120, 2344, 5314, 10187, 1868, 10271, 2939, 7302, 7106, 2288, 6350, 7750, 4250, 3550, 3163, 1812, 1149, 7022, 6798, 7667, 5874, 5650, 1923, 5398, 7611, 2231, 5174, 3914, 4922, 5034, 8940, 4138, 6070, 3662, 8885, 6295, 6743, 2455, 4867, 3247, 6546, 2623, 6967, 4670, 7526, 1440, 5818, 1980, 4446, 5762, 5118, 6658, 3051, 2175, 6911, 7163, 3438, 6855, 2826, 10326, 4194, 1671, 2036, 3494, 10131, 3718, 9081, 692]",5.674,1.652,2.888,0.189,0.353,56.04,0.8298730023918742,0.9999999999999999,False
11,1,0,60,113,"[545, 714, 165, 664, 215, 302, 595, 3380, 792, 426, 352, 476, 841, 3628, 5953, 4329, 6681, 5252, 2002, 10293, 2366, 7241, 4524, 6877, 3073, 7577, 922, 5057, 1638, 8851, 2905, 7409, 4161, 7773, 46, 4693, 6148, 1834, 2170, 6008, 5421, 9047, 4889, 6456, 3432, 2534, 4608, 7045, 6290, 3992, 7128, 3269, 7634, 3796, 5560, 4384, 4077, 1918, 4832, 5785, 6232, 1228, 2730, 6821, 3017, 3908, 1722, 6765, 1115, 8962, 5728, 4776, 7465, 2793, 3684, 2254, 6373, 3213, 3158, 7186, 3326, 1005, 1583, 6932, 2115, 6597, 1434, 5336, 10155, 5897, 6093, 7324, 5001, 5114, 2477, 3853, 8907, 3740, 2646, 4470, 2850, 4216, 3517, 10349, 7718, 5842, 6989, 5673, 3573, 1351, 1492, 1172, 7521, 10236]",5.725,1.821,5.055,0.186,0.276,66.63,0.8245069619552512,0.9999999999999979,False
12,1,0,60,10,"[9231, 9295, 696, 577, 360, 482, 824, 6859, 197, 7911, 3055]",7.346,3.17,6.906,0.198,0.136,3.86,0.8290004787106825,0.9999999999999978,False
13,1,0,60,71,"[11903, 11868, 11833, 11937, 11721, 11221, 11596, 11471, 11346, 8065, 9360, 9307, 8674, 8705, 12708, 12788, 12819, 12850, 12881, 12912, 12943, 13017, 13048, 13079, 13110, 13141, 13172, 13203, 13234, 13265, 13296, 13327, 13358, 13389, 13420, 13451, 13482, 13513, 13599, 13630, 13661, 13728, 13759, 13982, 14013, 11135, 10856, 10719, 13893, 10020, 10618, 9525, 9244, 10896, 11077, 10998, 7953, 13554, 10938, 11038, 9462, 13812, 12170, 10556, 8485, 9941, 12456, 11798, 12575, 10657, 8524, 8001]",8.612,3.685,7.746,0.251,0.164,5.88,0.8187053815581802,1.0000000000000002,False
14,1,0,60,49,"[0, 8432, 9745, 8390, 12375, 12290, 9660, 10807, 12328, 12216, 9793, 5479, 2420, 1320, 2989, 6417, 882, 9698, 1086, 8109, 1554, 12041, 8159, 8833, 8319, 8238, 10108, 9585, 12106, 10656, 10416, 9137, 8000, 407, 7953, 773, 9461, 282, 9523, 145, 645, 10556, 526, 10482, 9413, 8654, 10932, 10853, 10518, 7912]",7.363,4.96,6.156,0.164,0.181,19.13,0.8262412278711743,1.0000000000000002,False
15,1,0,60,35,"[12739, 12967, 11679, 8674, 8705, 12708, 12788, 12819, 12850, 12881, 12912, 13017, 13048, 13079, 13110, 13141, 13172, 13203, 13234, 13265, 13296, 13327, 13358, 13389, 13420, 13451, 13482, 13513, 13599, 13630, 13661, 13728, 13759, 13982, 14013, 12659]",8.257,5.989,7.746,0.184,0.116,2.71,0.8184281934713993,0.9999999999999998,False
16,1,0,60,68,"[8751, 12007, 10486, 7886, 10770, 845, 10077, 9624, 11971, 2384, 119, 6380, 9388, 11440, 2953, 7852, 5443, 12184, 8357, 11691, 12254, 10450, 11566, 12568, 8077, 11191, 8803, 11316, 9179, 8392, 13781, 8674, 8705, 12708, 12788, 12819, 12850, 12881, 12912, 12943, 13017, 13048, 13079, 13110, 13141, 13172, 13203, 13234, 13265, 13296, 13327, 13358, 13389, 13420, 13451, 13482, 13513, 13599, 13630, 13661, 13728, 13982, 14013, 12292, 10109, 647, 775, 9662, 285]",7.931,6.731,7.746,0.432,0.221,6.56,0.8184281934713993,0.9999999999999998,False
0,1,0,300,1,"[13017, 13168]",0.0,0.0,0.0,,,0.84,0.3602866757553855,1.0000000000000002,False
1,1,0,300,7,"[1966, 3009, 12415, 5503, 2485, 8454, 9724, 13734]",6.196,0.403,2.07,0.048,0.318,30.86,0.00010761049941458826,1.816480160047528e-21,False
2,1,0,300,10,"[2268, 2837, 5327, 730, 8276, 12139, 9547, 8689, 9962, 11867, 6219]",13.118,1.076,9.865,0.045,0.114,33.79,8.13042160771786e-05,6.21806424863422e-32,True
